"Entity","Code","Year","Birth.rate"
"Denmark","DNK",1981,10.398
"Denmark","DNK",1982,10.243
"Denmark","DNK",1983,9.947
"Denmark","DNK",1984,10.118
"Denmark","DNK",1985,10.475
"Denmark","DNK",1986,10.758
"Denmark","DNK",1987,10.961
"Denmark","DNK",1988,11.467
"Denmark","DNK",1989,11.933
"Denmark","DNK",1990,12.302
"Denmark","DNK",1991,12.478
"Denmark","DNK",1992,13.013
"Denmark","DNK",1993,12.971
"Denmark","DNK",1994,13.319
"Denmark","DNK",1995,13.243
"Denmark","DNK",1996,12.833
"Denmark","DNK",1997,12.747
"Denmark","DNK",1998,12.446
"Denmark","DNK",1999,12.411
"Denmark","DNK",2000,12.496
"Denmark","DNK",2001,12.173
"Poland","POL",1981,19.16
"Poland","POL",1982,19.601
"Poland","POL",1983,19.867
"Poland","POL",1984,19.084
"Poland","POL",1985,18.197
"Poland","POL",1986,16.936
"Poland","POL",1987,16.065
"Poland","POL",1988,15.605
"Poland","POL",1989,14.851
"Poland","POL",1990,14.388
"Poland","POL",1991,14.27
"Poland","POL",1992,13.446
"Poland","POL",1993,12.865
"Poland","POL",1994,12.416
"Poland","POL",1995,11.302
"Poland","POL",1996,11.05
"Poland","POL",1997,10.644
"Poland","POL",1998,10.197
"Poland","POL",1999,9.871
"Poland","POL",2000,9.88
"Poland","POL",2001,9.632
